overallIndex,name,browseNodeID,Level,Category Path,Book1Rank,Book100Rank,nLast30Days,top100URL,last30URL,preordersURL,parentName,parentBrowseNodeID,topLevelCategoryName,fullName,alsoKnownAs
0,Arts & Photography,154607011,1,Kindle eBooks > Arts & Photography,2553,46638,10000,https://amazon.com/Best-Sellers-Kindle-Store-Arts-Photography/zgbs/digital-text/154607011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A154607011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A154607011,p_n_date:1249102011",Kindle eBooks,154606011,Kindle eBooks,Arts & Photography,Kindle eBooks > Nonfiction > Arts & Photography
31,Architecture,157630011,2,Kindle eBooks > Arts & Photography > Architecture,29555,199746,924,https://amazon.com/Best-Sellers-Kindle-Store-Architecture/zgbs/digital-text/157630011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A157630011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A157630011,p_n_date:1249102011",Arts & Photography,154607011,Arts & Photography,Architecture,
41,"Architects, A-Z",157631011,3,"Kindle eBooks > Arts & Photography > Architecture > Architects, A-Z",163994,1596837,113,https://amazon.com/Best-Sellers-Kindle-Store-Individual-Architects-Firms-eBooks/zgbs/digital-text/157631011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A157631011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A157631011,p_n_date:1249102011",Architecture,157630011,Arts & Photography,Individual Architects & Firms eBooks,
42,Building Types & Styles,157632011,3,Kindle eBooks > Arts & Photography > Architecture > Building Types & Styles,48805,1105131,153,https://amazon.com/Best-Sellers-Kindle-Store-Building-Types-Styles-eBooks/zgbs/digital-text/157632011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A157632011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A157632011,p_n_date:1249102011",Architecture,157630011,Arts & Photography,Building Types & Styles eBooks,
55,Religious Buildings,157634011,4,Kindle eBooks > Arts & Photography > Architecture > Building Types & Styles > Religious Buildings,123510,2210923,75,https://amazon.com/Best-Sellers-Kindle-Store-Religious-Buildings-Architecture/zgbs/digital-text/157634011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A157634011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A157634011,p_n_date:1249102011",Building Types & Styles,157632011,Arts & Photography,Religious Buildings Architecture,
56,Specific Styles,157635011,4,Kindle eBooks > Arts & Photography > Architecture > Building Types & Styles > Specific Styles,650418,,34,https://amazon.com/Best-Sellers-Kindle-Store-Specific-Architecture-Building-Styles/zgbs/digital-text/157635011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A157635011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A157635011,p_n_date:1249102011",Building Types & Styles,157632011,Arts & Photography,Specific Architecture Building Styles,
43,Criticism,157636011,3,Kindle eBooks > Arts & Photography > Architecture > Criticism,146262,1643442,54,https://amazon.com/Best-Sellers-Kindle-Store-Architecture-Criticism/zgbs/digital-text/157636011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A157636011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A157636011,p_n_date:1249102011",Architecture,157630011,Arts & Photography,Architecture Criticism,
44,Drawing & Modelling,157637011,3,Kindle eBooks > Arts & Photography > Architecture > Drawing & Modelling,43124,934106,30,https://amazon.com/Best-Sellers-Kindle-Store-Architecture-Drawing-Modelling/zgbs/digital-text/157637011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A157637011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A157637011,p_n_date:1249102011",Architecture,157630011,Arts & Photography,Architecture Drawing & Modelling,
45,Historic Preservation,157639011,3,Kindle eBooks > Arts & Photography > Architecture > Historic Preservation,168985,1915379,66,https://amazon.com/Best-Sellers-Kindle-Store-Historic-Preservation/zgbs/digital-text/157639011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A157639011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A157639011,p_n_date:1249102011",Architecture,157630011,Arts & Photography,Historic Preservation,
46,History & Periods,157640011,3,Kindle eBooks > Arts & Photography > Architecture > History & Periods,114349,575770,362,https://amazon.com/Best-Sellers-Kindle-Store-Architecture-History-Periods/zgbs/digital-text/157640011,"https://amazon.com/s?s=relevanceexprank&rh=n%3A157640011,p_n_date:1249100011","https://amazon.com/s?s=relevanceexprank&rh=n%3A157640011,p_n_date:1249102011",Architecture,157630011,Arts & Photography,Architecture History & Periods,
